Entity,Code,Day,lockdown,model_step
Barbados,BRB,24/03/2020,1,23
Barbados,BRB,25/03/2020,1,24
Barbados,BRB,26/03/2020,1,25
Barbados,BRB,27/03/2020,1,26
Barbados,BRB,28/03/2020,1,27
Barbados,BRB,29/03/2020,1,28
Barbados,BRB,30/03/2020,1,29
Barbados,BRB,31/03/2020,1,30
Belarus,BLR,01/03/2020,0,0
Belarus,BLR,02/03/2020,0,1
Belarus,BLR,03/03/2020,0,2
Belarus,BLR,04/03/2020,0,3
Belarus,BLR,05/03/2020,0,4
Belarus,BLR,06/03/2020,0,5
Belarus,BLR,07/03/2020,0,6
Belarus,BLR,08/03/2020,0,7
Belarus,BLR,09/03/2020,0,8
Belarus,BLR,10/03/2020,0,9
Belarus,BLR,11/03/2020,0,10
Belarus,BLR,12/03/2020,0,11
Belarus,BLR,13/03/2020,0,12
Belarus,BLR,14/03/2020,0,13
Belarus,BLR,15/03/2020,0,14
Belarus,BLR,16/03/2020,0,15
Belarus,BLR,17/03/2020,0,16
Belarus,BLR,18/03/2020,0,17
Belarus,BLR,19/03/2020,0,18
Belarus,BLR,20/03/2020,0,19
Belarus,BLR,21/03/2020,0,20
Belarus,BLR,22/03/2020,0,21
Belarus,BLR,23/03/2020,0,22
Belarus,BLR,24/03/2020,0,23
Belarus,BLR,25/03/2020,0,24
Belarus,BLR,26/03/2020,0,25
Belarus,BLR,27/03/2020,0,26
Belarus,BLR,28/03/2020,0,27
Belarus,BLR,29/03/2020,0,28
Belarus,BLR,30/03/2020,0,29
Belarus,BLR,31/03/2020,0,30
Belgium,BEL,01/03/2020,0,0
Belgium,BEL,02/03/2020,0,1
Belgium,BEL,03/03/2020,0,2
Belgium,BEL,04/03/2020,0,3
Belgium,BEL,05/03/2020,0,4
Belgium,BEL,06/03/2020,0,5
Belgium,BEL,07/03/2020,0,6
Belgium,BEL,08/03/2020,0,7
Belgium,BEL,09/03/2020,0,8
Belgium,BEL,10/03/2020,0,9
Belgium,BEL,11/03/2020,0,10
Belgium,BEL,12/03/2020,0,11
Belgium,BEL,13/03/2020,0,12
Belgium,BEL,14/03/2020,0,13
Belgium,BEL,15/03/2020,0,14
Belgium,BEL,16/03/2020,0,15
Belgium,BEL,17/03/2020,0,16
Belgium,BEL,18/03/2020,0,17
Belgium,BEL,19/03/2020,0,18
Belgium,BEL,20/03/2020,0,19
Belgium,BEL,21/03/2020,0,20
Belgium,BEL,22/03/2020,0,21
Belgium,BEL,23/03/2020,0,22
Belgium,BEL,24/03/2020,0,23
Belgium,BEL,25/03/2020,0,24
Belgium,BEL,26/03/2020,0,25
Belgium,BEL,27/03/2020,0,26
Belgium,BEL,28/03/2020,0,27
Belgium,BEL,29/03/2020,0,28
Belgium,BEL,30/03/2020,0,29
Belgium,BEL,31/03/2020,0,30
Benin,BEN,01/03/2020,0,0
Benin,BEN,02/03/2020,0,1
Benin,BEN,03/03/2020,0,2
Benin,BEN,04/03/2020,0,3
Benin,BEN,05/03/2020,0,4
Benin,BEN,06/03/2020,0,5
Benin,BEN,07/03/2020,0,6
Benin,BEN,08/03/2020,0,7
Benin,BEN,09/03/2020,0,8
Benin,BEN,10/03/2020,0,9
Benin,BEN,11/03/2020,0,10
Benin,BEN,12/03/2020,0,11
Benin,BEN,13/03/2020,0,12
Benin,BEN,14/03/2020,0,13
Benin,BEN,15/03/2020,0,14
Benin,BEN,16/03/2020,0,15
Benin,BEN,17/03/2020,0,16
Benin,BEN,18/03/2020,0,17
Benin,BEN,19/03/2020,0,18
Benin,BEN,20/03/2020,0,19
Benin,BEN,21/03/2020,0,20
Benin,BEN,22/03/2020,0,21
Benin,BEN,23/03/2020,0,22
Benin,BEN,24/03/2020,0,23
Benin,BEN,25/03/2020,0,24
Benin,BEN,26/03/2020,0,25
Benin,BEN,27/03/2020,0,26
Benin,BEN,28/03/2020,0,27
Benin,BEN,29/03/2020,0,28
Benin,BEN,30/03/2020,1,29
Benin,BEN,31/03/2020,1,30
Bhutan,BTN,01/03/2020,0,0
Bhutan,BTN,02/03/2020,0,1
Bhutan,BTN,03/03/2020,0,2
Bhutan,BTN,04/03/2020,0,3
Bhutan,BTN,05/03/2020,0,4
Bhutan,BTN,06/03/2020,1,5
Bhutan,BTN,07/03/2020,1,6
Bhutan,BTN,08/03/2020,1,7
Bhutan,BTN,09/03/2020,1,8
Bhutan,BTN,10/03/2020,1,9
Bhutan,BTN,11/03/2020,1,10
Bhutan,BTN,12/03/2020,1,11
Bhutan,BTN,13/03/2020,1,12
Bhutan,BTN,14/03/2020,1,13
Bhutan,BTN,15/03/2020,1,14
Bhutan,BTN,16/03/2020,1,15
Bhutan,BTN,17/03/2020,1,16
Bhutan,BTN,18/03/2020,1,17
Bhutan,BTN,19/03/2020,1,18
Bhutan,BTN,20/03/2020,1,19
Bhutan,BTN,21/03/2020,1,20
Bhutan,BTN,22/03/2020,1,21
Bhutan,BTN,23/03/2020,1,22
Bhutan,BTN,24/03/2020,1,23
Bhutan,BTN,25/03/2020,1,24
Bhutan,BTN,26/03/2020,1,25
Bhutan,BTN,27/03/2020,1,26
Bhutan,BTN,28/03/2020,1,27
Bhutan,BTN,29/03/2020,1,28
Bhutan,BTN,30/03/2020,1,29
Bhutan,BTN,31/03/2020,1,30
Bolivia,BOL,01/03/2020,0,0
Bolivia,BOL,02/03/2020,0,1
Bolivia,BOL,03/03/2020,0,2
Bolivia,BOL,04/03/2020,0,3
Bolivia,BOL,05/03/2020,0,4
Bolivia,BOL,06/03/2020,0,5
Bolivia,BOL,07/03/2020,0,6
Bolivia,BOL,08/03/2020,0,7
Bolivia,BOL,09/03/2020,0,8
Bolivia,BOL,10/03/2020,0,9
Bolivia,BOL,11/03/2020,0,10
Bolivia,BOL,12/03/2020,1,11
Bolivia,BOL,13/03/2020,1,12
Bolivia,BOL,14/03/2020,1,13
Bolivia,BOL,15/03/2020,1,14
Bolivia,BOL,16/03/2020,1,15
Bolivia,BOL,17/03/2020,1,16
Bolivia,BOL,18/03/2020,1,17
Bolivia,BOL,19/03/2020,1,18
Bolivia,BOL,20/03/2020,1,19
Bolivia,BOL,21/03/2020,1,20
Bolivia,BOL,22/03/2020,1,21
Bolivia,BOL,23/03/2020,1,22
Bolivia,BOL,24/03/2020,1,23
Bolivia,BOL,25/03/2020,1,24
Bolivia,BOL,26/03/2020,1,25
Bolivia,BOL,27/03/2020,1,26
Bolivia,BOL,28/03/2020,1,27
Bolivia,BOL,29/03/2020,1,28
Bolivia,BOL,30/03/2020,1,29
Bolivia,BOL,31/03/2020,1,30
Bosnia and Herzegovina,BIH,01/03/2020,0,0
Bosnia and Herzegovina,BIH,02/03/2020,0,1
Bosnia and Herzegovina,BIH,03/03/2020,0,2
Bosnia and Herzegovina,BIH,04/03/2020,0,3
Bosnia and Herzegovina,BIH,05/03/2020,0,4
Bosnia and Herzegovina,BIH,06/03/2020,0,5
Bosnia and Herzegovina,BIH,07/03/2020,0,6
Bosnia and Herzegovina,BIH,08/03/2020,0,7
Bosnia and Herzegovina,BIH,09/03/2020,0,8
Bosnia and Herzegovina,BIH,10/03/2020,0,9
Bosnia and Herzegovina,BIH,11/03/2020,1,10
Bosnia and Herzegovina,BIH,12/03/2020,1,11
Bosnia and Herzegovina,BIH,13/03/2020,1,12
Bosnia and Herzegovina,BIH,14/03/2020,1,13
Bosnia and Herzegovina,BIH,15/03/2020,1,14
Bosnia and Herzegovina,BIH,16/03/2020,1,15
Bosnia and Herzegovina,BIH,17/03/2020,1,16
Bosnia and Herzegovina,BIH,18/03/2020,1,17
Bosnia and Herzegovina,BIH,19/03/2020,1,18
Bosnia and Herzegovina,BIH,20/03/2020,1,19
Bosnia and Herzegovina,BIH,21/03/2020,1,20
Bosnia and Herzegovina,BIH,22/03/2020,1,21
Bosnia and Herzegovina,BIH,23/03/2020,1,22
Bosnia and Herzegovina,BIH,24/03/2020,1,23
Bosnia and Herzegovina,BIH,25/03/2020,1,24
Bosnia and Herzegovina,BIH,26/03/2020,1,25
Bosnia and Herzegovina,BIH,27/03/2020,1,26
Bosnia and Herzegovina,BIH,28/03/2020,1,27
Bosnia and Herzegovina,BIH,29/03/2020,1,28
Bosnia and Herzegovina,BIH,30/03/2020,1,29
Bosnia and Herzegovina,BIH,31/03/2020,1,30
Botswana,BWA,01/03/2020,0,0
Botswana,BWA,02/03/2020,0,1
Botswana,BWA,03/03/2020,0,2
Botswana,BWA,04/03/2020,0,3
Botswana,BWA,05/03/2020,0,4
Botswana,BWA,06/03/2020,0,5
Botswana,BWA,07/03/2020,0,6
Botswana,BWA,08/03/2020,0,7
Botswana,BWA,09/03/2020,0,8
Botswana,BWA,10/03/2020,0,9
Botswana,BWA,11/03/2020,0,10
Botswana,BWA,12/03/2020,0,11
Botswana,BWA,13/03/2020,0,12
Botswana,BWA,14/03/2020,0,13
Botswana,BWA,15/03/2020,0,14
Botswana,BWA,16/03/2020,0,15
Botswana,BWA,17/03/2020,0,16
Botswana,BWA,18/03/2020,0,17
Botswana,BWA,19/03/2020,1,18
Botswana,BWA,20/03/2020,1,19
Botswana,BWA,21/03/2020,1,20
Botswana,BWA,22/03/2020,1,21
Botswana,BWA,23/03/2020,1,22
Botswana,BWA,24/03/2020,1,23
Botswana,BWA,25/03/2020,1,24
Botswana,BWA,26/03/2020,1,25
Botswana,BWA,27/03/2020,1,26
Botswana,BWA,28/03/2020,1,27
Botswana,BWA,29/03/2020,1,28
Botswana,BWA,30/03/2020,1,29
Botswana,BWA,31/03/2020,1,30
Brazil,BRA,01/03/2020,0,0
Brazil,BRA,02/03/2020,0,1
Brazil,BRA,03/03/2020,0,2
Brazil,BRA,04/03/2020,0,3
