entity,code,year,gdp_pc,democracy_index,capital_latitude,capital_longitude,population_density,log_population_density,log_population_density_normalized_on_average,democracy_index_normalized_on_average,initial_state
Cameroon,CMR,2020,3867.2,2.85,3.87,11.52,56.16,4.03,0.93,0.52,0
Canada,CAN,2020,46572.14,9.22,45.42,-75.7,4.24,1.45,0.33,1.69,0
Cape Verde,CPV,2020,6376.12,7.78,14.92,-23.52,137.96,4.93,1.14,1.43,0
Central African Republic,CAF,2020,989.22,1.32,4.37,18.58,7.75,2.05,0.47,0.24,0
Chad,TCD,2020,1591.67,1.61,12.1,15.03,13.04,2.57,0.59,0.29,0
Chile,CHL,2020,25089.03,8.08,-33.45,-70.67,25.71,3.25,0.75,1.48,0
China,CHN,2020,17189.28,2.26,39.92,116.38,149.72,5.01,1.16,0.41,1
Colombia,COL,2020,14868.47,7.13,4.6,-74.08,45.86,3.83,0.89,1.31,0
Republic of Congo,COG,2020,3689.11,3.11,-4.25,15.28,16.16,2.78,0.64,0.57,0
Costa Rica,CRI,2020,22243.8,8.13,9.93,-84.08,99.77,4.6,1.07,1.49,0
Cote d'Ivoire,CIV,2020,5465.07,4.05,6.82,-5.27,82.95,4.42,1.02,0.74,0
Croatia,HRV,2020,28780.32,6.57,45.8,16,71.53,4.27,0.99,1.2,0
Cuba,CUB,2020,21016.65,2.84,23.12,-82.35,109.12,4.69,1.09,0.52,0
Cyprus,CYP,2020,39593.43,7.59,35.17,33.37,130.67,4.87,1.13,1.39,0
Czechia,CZE,2020,41608.03,7.69,50.08,14.47,138.57,4.93,1.14,1.41,0
Democratic Republic of Congo,COD,2020,1141.73,1.13,-4.32,15.3,39.51,3.68,0.85,0.21,0
Denmark,DNK,2020,60229.91,9.22,55.67,12.58,145.79,4.98,1.15,1.69,0
Djibouti,DJI,2020,5532.68,2.77,11.58,43.15,42.62,3.75,0.87,0.51,0
Dominican Republic,DOM,2020,17934.19,6.54,18.47,-69.9,224.55,5.41,1.25,1.2,0
Ecuador,ECU,2020,10890.46,6.33,-0.22,-78.5,71.04,4.26,0.99,1.16,0
Egypt,EGY,2020,12605.98,3.06,30.05,31.25,102.8,4.63,1.07,0.56,0
El Salvador,SLV,2020,8419.8,6.15,13.7,-89.2,313.04,5.75,1.33,1.13,0
Eritrea,ERI,2020,2102.95,2.37,15.33,38.93,35.11,3.56,0.82,0.43,0
Estonia,EST,2020,37645.22,7.9,59.43,24.72,30.58,3.42,0.79,1.45,0
Eswatini,SWZ,2020,8865.02,3.14,-26.32,31.13,67.45,4.21,0.98,0.58,0
Ethiopia,ETH,2020,2422.68,3.44,9.03,38.7,101.8,4.62,1.07,0.63,0
Fiji,FJI,2020,12158.24,5.85,-18.13,178.42,49.07,3.89,0.9,1.07,0
Finland,FIN,2020,50937.16,9.25,60.17,24.93,18.19,2.9,0.67,1.69,0
France,FRA,2020,46991.18,8.12,48.87,2.33,123.06,4.81,1.11,1.49,0
Gabon,GAB,2020,15105.13,3.61,0.38,9.45,8.64,2.16,0.5,0.66,0
Gambia,GMB,2020,2276.65,4.33,13.45,-16.57,238.8,5.48,1.27,0.79,0
Georgia,GEO,2020,14731.2,5.42,41.68,44.83,65.13,4.18,0.97,0.99,0
Germany,DEU,2020,54844.55,8.68,52.52,13.4,238.02,5.47,1.27,1.59,0
Ghana,GHA,2020,5749.66,6.63,5.55,-0.22,136.56,4.92,1.14,1.21,0
Greece,GRC,2020,27948.65,7.43,37.98,23.73,83.01,4.42,1.02,1.36,0
Guatemala,GTM,2020,8852.95,5.26,14.62,-90.52,157.32,5.06,1.17,0.96,0
Guinea,GIN,2020,2754.42,3.14,9.5,-13.7,53.45,3.98,0.92,0.58,0
Guyana,GUY,2020,19702.97,6.15,6.8,-58.15,4,1.39,0.32,1.13,0
